step,x1,x2,y,f1,f2,Ax,Ay,Bx,By,C,time
164, -0.148813, 0.148814, 0.222460, 1.978936, 1.978946, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.374000
165, -0.141803, 0.141804, 0.228231, 1.959604, 1.959613, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.474000
166, -0.135426, 0.135427, 0.233522, 1.942513, 1.942522, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.563000
167, -0.129762, 0.129761, 0.238254, 1.927725, 1.927715, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.408000
168, -0.124870, 0.124869, 0.242364, 1.915220, 1.915211, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.628000
169, -0.120818, 0.120817, 0.245785, 1.905049, 1.905040, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.490000
170, -0.117655, 0.117655, 0.248465, 1.897215, 1.897223, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.067000
171, -0.115438, 0.115439, 0.250350, 1.891790, 1.891799, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.995000
172, -0.114198, 0.114198, 0.251406, 1.888788, 1.888780, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.743000
173, -0.113945, 0.113946, 0.251621, 1.888165, 1.888174, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 3.523000
174, -0.114709, 0.114708, 0.250971, 1.890026, 1.890018, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.160000
175, -0.116466, 0.116466, 0.249475, 1.894299, 1.894307, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 4.627000
176, -0.119225, 0.119224, 0.247134, 1.901097, 1.901089, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.011000
177, -0.122942, 0.122941, 0.243990, 1.910360, 1.910352, -0.353000, 0.300000, 0.353000, 0.300000, 1.178097, 5.252000
